id,批次,清单类型,备案月份,算法名称,算法类别_原始,算法类别_LLM,企业角色,企业名称,应用产品,主要用途,发放日期,注册资本_万元,省份,城市,县区,行业一级,行业二级,行业三级,经度,纬度,技术代际
1911,第七批,深度合成,2024-08,蜻蜓FM智能客服算法,深度合成,人机对话,服务提供者,上海麦克风文化传媒有限公司,蜻蜓FM(APP),应用于对话生成场景，根据用户输入的问题文本，生成相应的回复文本。,2023-08-15,3000,上海市,上海市,普陀区,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,电影和影视节目制作,121.393485,31.223038,G4
1912,第七批,深度合成,2024-08,智子引擎VideoX图生视频算法-1,深度合成,内容生成,服务提供者,南京智子引擎信息科技有限公司,VideoX(网站),应用于视频生成场景，根据用户输入的图像，生成动态表情包、动态壁纸、动态写真等。,2023-08-15,100,江苏省,南京市,未回填,未回填,未回填,未回填,118.797,32.060,G4
1913,第七批,深度合成,2024-08,图易拾贝智能文本视频生成算法,深度合成,内容生成,服务提供者,深圳市图易拾贝科技有限公司,众影(小程序)、众影(APP)、众影(网站),应用于多媒体内容生成场景，在生成图像时，根据用户输入的文本、图片，生成具有相似特征的图像作品；在生成音频时，根据用户录制的音频文件，生成相似特征的音色模型；在生成视频时，根据用户输入的剧本，生成具有相似特征的视频内容。,2023-08-15,714,广东省,深圳市,南山区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,113.928063,22.629322,G4
1914,第七批,深度合成,2024-08,百事通法律咨询语音对话生成算法,深度合成,人机对话,服务提供者,上海百事通信息技术股份有限公司,百事通AI法律助理（3D形象）(网站),应用于对话生成场景，根据用户的语音提问内容，生成相关法律条款、案例解读和操作建议等音频回复。,2023-08-15,38442,上海市,上海市,徐汇区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,121.401058,31.170690,G3
1915,第七批,深度合成,2024-08,元保智能客服算法,深度合成,人机对话,服务提供者,元保科创（北京）科技有限公司,在线客服(其他),应用于智能对话场景，根据用户输入的文本、语音，生成符合用户需求的文本、语音回复。,2023-08-15,12000,北京市,北京市,朝阳区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.387464,40.000761,G4
1916,第七批,深度合成,2024-08,榫卯产品设计效果图生成算法,深度合成,内容生成,服务提供者,北京榫卯科技有限公司,sneaker bomb(小程序)、sneaker bomb(网站),应用于图像生成场景，根据用户输入的图像和参数，生成符合用户需求的图像内容。,2023-08-15,100,北京市,北京市,丰台区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.417757,39.852167,G4
1917,第七批,深度合成,2024-08,城市大脑政参谋大模型生成合成类算法,深度合成,内容生成,服务技术支持者,杭州城市大脑有限公司,未回填,应用于文本生成场景，服务于企业端客户，根据用户输入的文本信息，生成符合用户需求的文本内容。,2023-08-15,10000,浙江省,杭州市,西湖区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.082555,30.162376,G4
1918,第七批,深度合成,2024-08,MonkiAi智能对话生成算法,深度合成,人机对话,服务提供者,上海我赏科技有限公司,monkiai(小程序),应用于智能对话场景，将用户输入的语音识别为文字，生成符合用户需求的文本、语音回复。,2023-08-15,148,上海市,上海市,奉贤区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,121.730897,30.862102,G4
1919,第七批,深度合成,2024-08,百度红线知识代答算法,深度合成,内容生成,服务技术支持者,北京百度网讯科技有限公司,未回填,应用于文本生成场景，服务于企业端客户，根据用户输入的文本信息，生成符合用户需求的文本内容。,2023-08-15,134,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.301400,40.050905,G4
1920,第七批,深度合成,2024-08,百度人像写真图像扩散生成算法,深度合成,内容生成,服务提供者,北京百度网讯科技有限公司,一刻相册(APP),应用于图像生成场景，根据用户上传的图片信息，将人脸特征提取后生成与风格化模板融合的写真照片。,2023-08-15,134,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.301400,40.050905,G4
1921,第七批,深度合成,2024-08,小荷医疗大模型算法,深度合成,内容生成,服务提供者,北京抖音信息服务有限公司,小荷健康(小程序)、抖音短视频(APP),应用于文本生成场景，根据用户输入的文本问题，生成健康科普知识、健康咨询指导或初步诊断结果等医疗领域信息，实现知识问答、多轮对话、逻辑推理等功能。,2023-08-15,20000,北京市,北京市,海淀区,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,电影和影视节目制作,116.338628,39.975197,G4
1922,第八批,深度合成,2024-10,大树文本生成合成算法,深度合成,内容生成,服务提供者,广州大树新能源技术有限公司,大树AI(网站),应用于文本生成场景，根据用户输入的文本内容，生成相应的文本回复结果。,2023-09-15,100,广东省,广州市,海珠区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.359140,23.125752,G4
1923,第八批,深度合成,2024-10,博问AI大模型算法,深度合成,内容生成,服务提供者,郑州丰嘉科技股份有限公司,博问AI(网站),应用于对话生成场景，根据用户输入的文本内容，生成相应的文本回复。,2023-09-15,1052,河南省,郑州市,管城回族区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.706486,34.722801,G4
1924,第八批,深度合成,2024-10,涌现未来AI生成合成类算法-1,深度合成,内容生成,服务提供者,河北省涌现未来科技有限公司,涌现未来AI(网站),应用于图像生成场景，根据用户输入的文本描述或图像，生成相关的图像。,2023-09-15,300,河北省,唐山市,遵化市,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,118.082744,39.538819,G4
1925,第八批,深度合成,2024-10,希施玛IPO辅助文本生成算法,深度合成,内容生成,服务提供者,深圳希施玛数据科技有限公司,IPO问询答复辅助系统(网站),应用于文本生成场景，根据用户上传的问询函，解析问询函中的问题，并针对每个问题生成相应的答复内容。,2023-09-15,5208,广东省,深圳市,南山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,114.004379,22.593130,G4
1926,第八批,深度合成,2024-10,城市运行一网统管大模型算法,深度合成,智能搜索,服务技术支持者,浙数城市大脑（浙江）有限公司,未回填,应用于文本生成场景，服务于企业端客户，根据输入的城市运行数据中治理事件文本，生成包含事件概述、影响分析等内容的告警报告。,2023-09-15,1000,浙江省,温州市,瓯海区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.660237,27.954023,G3
1927,第八批,深度合成,2024-10,海马云图像视频多模态生成算法,深度合成,内容生成,服务提供者,安徽海马云科技股份有限公司,RunningHub(网站),应用于图像、视频生成场景，根据用户输入的文本、图像、视频等内容，生成符合用户要求的图像、视频。,2023-09-15,5452,安徽省,合肥市,合肥高新技术产业开发区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.504860,39.983880,G4
1928,第八批,深度合成,2024-10,Soul文字配音生成算法,深度合成,内容生成,服务提供者,上海任意门科技有限公司,Soul(APP)、梦核乐园(APP)、异世界回响(APP),应用于音频生成场景，根据用户输入的文本，生成相应的音频，实现文字配音、歌声合成等功能。,2023-09-15,1000,上海市,上海市,浦东新区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,121.635527,31.221923,G4
1929,第八批,深度合成,2024-10,幻引文本生成算法,深度合成,数据分析,服务提供者,上海幻引信息技术服务有限公司,个人AI记账(小程序),应用于文本生成场景，根据用户输入的文本，生成对应的文本数据和图文数据。,2023-09-15,500,上海市,上海市,闵行区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,121.463071,31.021673,G3
1930,第八批,深度合成,2024-10,斗鱼实时变声算法,深度合成,内容生成,服务提供者,武汉斗鱼网络科技有限公司,斗鱼-超高清游戏直播视频娱乐平台(APP),应用于音频生成场景，根据用户输入的音频，生成与输入音色一致的音频内容。,2023-09-15,2234,湖北省,武汉市,洪山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,114.407660,30.479110,G4
1931,第八批,深度合成,2024-10,虚拟偶像合成算法,深度合成,内容生成,服务提供者,北京比特绿洲科技有限公司,虚拟偶像(APP),应用于数字人视频生成场景，根据用户输入的文本、音频、图像、视频，生成数字人形象的视频。,2023-09-15,100,北京市,北京市,朝阳区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.438994,39.843863,G4
1932,第八批,深度合成,2024-10,柯基KG大模型算法,深度合成,内容生成,服务技术支持者,南京柯基数据科技有限公司,未回填,应用于文本生成场景，服务于企业端客户，根据用户输入的文本信息，生成符合用户需求的文本内容。,2023-09-15,1118,江苏省,南京市,江宁区,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,118.773669,31.827965,G4
1933,第八批,深度合成,2024-10,数字人自主品牌合成算法,深度合成,内容生成,服务提供者,福建时代商创数字科技有限公司,数字人自主品牌(小程序),应用于数字人视频生成场景，根据用户输入的文本、音频、图像、视频，生成数字人形象的视频。,2023-09-15,1000,福建省,福州市,闽侯县,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,119.278013,26.059392,G4
1934,第八批,深度合成,2024-10,无忧秘书智脑多模态算法,深度合成,内容生成,服务技术支持者,深圳优秘智能科技有限公司,未回填,应用于文本图像生成场景，服务于企业端客户，根据用户输入的文本，生成符合用户需求的文本、图像内容。,2023-09-15,200,广东省,深圳市,龙岗区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,114.061020,22.607931,G4
1935,第八批,深度合成,2024-10,即战力大模型算法,深度合成,内容生成,服务提供者,深圳市融邦教育科技有限公司,即战力(APP),应用于文本生成场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2023-09-15,2000,广东省,深圳市,福田区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,114.050847,22.550611,G4
1936,第八批,深度合成,2024-10,盛祥志联幻图图像生成算法-1,深度合成,内容生成,服务技术支持者,上海盛祥志联人工智能技术有限公司,幻图AI(网站),应用于图像视频生成场景，服务于企业端客户，根据用户输入的文本、图像或视频素材，生成符合用户需求的图像或视频内容。,2023-09-15,50,上海市,上海市,嘉定区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,121.283109,31.304121,G4
1937,第八批,深度合成,2024-10,派欧语言生成算法,深度合成,内容生成,服务技术支持者,派欧云计算（上海）有限公司,未回填,应用于文本生成场景，服务于企业端客户，根据输入的提示文本，生成相应的文本内容，提供自动写作、内容创作、语言翻译等服务。,2023-09-15,1000,上海市,上海市,浦东新区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,121.603361,31.202094,G4
1938,第八批,深度合成,2024-10,国字云文字识别生成合成类算法,深度合成,智能搜索,服务提供者,北京许先网科技发展有限公司,国字云测字(APP),应用于文字识别场景，根据用户输入的中文汉字图像，输出图像中识别出的文字信息。,2023-09-15,6000,北京市,北京市,丰台区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.316054,39.847869,G3
1939,第八批,深度合成,2024-10,数巅AskBot内容生成算法,深度合成,内容生成,服务技术支持者,北京数巅科技有限公司,未回填,应用于对话生成场景，服务于企业端客户，根据用户输入的任务描述，生成相应的文本、图像、音频。,2023-09-15,2000,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.330304,39.993942,G4
1940,第八批,深度合成,2024-10,超艾纬来真智多模态生成合成算法,深度合成,内容生成,服务提供者,重庆超艾纬来科技有限责任公司,真智AI(网站),应用于文本图像生成场景，根据用户输入的文本、图像，生成符合用户需求的文本、图像内容。,2023-09-15,50,重庆市,重庆市,沙坪坝区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,106.293625,29.602187,G4
1941,第八批,深度合成,2024-10,凡思唯行自然对话生成算法,深度合成,内容生成,服务提供者,重庆凡思唯行网络科技有限公司,AI写作创作星(其他),应用于对话生成场景，根据用户输入的文本内容，生成符合用户需求的文本回复。,2023-09-15,1,重庆市,重庆市,巴南区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,106.548258,29.435812,G4
1942,第八批,深度合成,2024-10,世优2D数字人合成算法,深度合成,内容生成,服务提供者,世优（北京）科技股份有限公司,世优2D数字人(网站),应用于数字人视频生成场景，根据用户输入的音频、图像，生成数字人形象的视频。,2023-09-15,3620,北京市,北京市,朝阳区,科学研究和技术服务业,科技推广和应用服务业,其他科技推广和应用服务业,116.442853,39.918955,G4
1943,第八批,深度合成,2024-10,世优3D数字人合成算法,深度合成,内容生成,服务提供者,世优（北京）科技股份有限公司,世优3D数字人(网站),应用于数字人视频生成场景，根据用户输入的音频，生成数字人形象的视频。,2023-09-15,3620,北京市,北京市,朝阳区,科学研究和技术服务业,科技推广和应用服务业,其他科技推广和应用服务业,116.442853,39.918955,G4
1944,第八批,深度合成,2024-10,祖玛人物写真生成算法,深度合成,内容生成,服务提供者,杭州祖玛科技有限公司,视鸭(小程序)、视鸭(其他)、视鸭(APP),应用于图像生成场景，根据用户输入的人脸图像，进行人物形象的学习，生成目标人物在特定风格或场景下的写真图像。,2023-09-15,1012,浙江省,杭州市,西湖区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.114836,30.277065,G4
1945,第八批,深度合成,2024-10,渊亭河图基座大模型算法,深度合成,内容生成,服务技术支持者,厦门渊亭信息科技有限公司,未回填,应用于文本生成场景，服务于企业端客户，根据用户输入的文本信息，生成符合用户需求的文本内容。,2023-09-15,2694,福建省,厦门市,湖里区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,118.187209,24.487981,G4
1946,第八批,深度合成,2024-10,胜未科技法律咨询AI模型智能算法-1,深度合成,内容生成,服务技术支持者,上海胜未科技发展有限公司,未回填,应用于对话生成场景，服务于企业端客户，根据用户输入的咨询问题，生成相应的法律知识和建议。,2023-09-15,500,上海市,上海市,奉贤区,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,121.561057,30.976610,G3
1947,第八批,深度合成,2024-10,物润数字人合成算法,深度合成,内容生成,服务提供者,江苏物润船联网络股份有限公司,物润播报(小程序)、物润播报(网站),应用于数字人生成场景，根据用户上传的音频或视频数据，生成数字人视频。,2023-09-15,4091,江苏省,未回填,未回填,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.473660,31.991158,G4
1948,第八批,深度合成,2024-10,品食AI照片美化合成算法,深度合成,其他,服务提供者,湖南品食网络科技有限公司,AI写真(APP),应用于图像编辑场景，根据用户输入的照片和选择的美化风格，生成具有特定风格的艺术照片。,2023-09-15,200,湖南省,长沙市,岳麓区,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,112.937323,28.246169,G4
1949,第八批,深度合成,2024-10,Luna动画文本生成算法,深度合成,内容生成,服务提供者,深圳市七之月科技有限公司,Luna动画(小程序),应用于文本生成场景，根据用户输入的文本，生成文案、分镜、图片描述等文本信息。,2023-09-15,50,广东省,深圳市,南山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,113.928063,22.629322,G4
1950,第八批,深度合成,2024-10,猫几服装设计生成算法,深度合成,内容生成,服务提供者,成都花猫智绘信息科技有限公司,猫几(APP),应用于图像生成场景，根据用户输入的参考图和文字描述，生成个性化的旗袍设计图像。,2023-09-15,454,四川省,成都市,武侯区,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,104.298180,30.757001,G4
1951,第八批,深度合成,2024-10,德适生物MedImage大模型算法,深度合成,内容生成,服务提供者,杭州德适生物科技有限公司,AutoVision(网站),应用于文本图像生成场景，根据用户输入的医学染色体核型病例图像，生成详细的核型表达式，并提示该病例是否存在染色体异常。,2023-09-15,2088,浙江省,杭州市,未回填,科学研究和技术服务业,研究和试验发展,医学研究和试验发展,120.307788,30.448491,G3
1952,第八批,深度合成,2024-10,影秀相机视频合成算法,深度合成,智能搜索,服务提供者,上海脉炬网络科技有限公司,影秀相机(APP),应用于图像视频生成场景，根据用户输入的图像、视频，生成符合用户需求的图像、视频内容，实现人脸融合功能。,2023-09-15,100,上海市,上海市,嘉定区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,121.323720,31.295396,G4
1953,第八批,深度合成,2024-10,金口良策大语言模型生成文字算法-1,深度合成,内容生成,服务提供者,杭州金口良策科技有限公司,金口良策AI(网站),应用于文本生成场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2023-09-15,117,浙江省,杭州市,余杭区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.029782,30.258536,G4
1954,第八批,深度合成,2024-10,三颗松果生成合成算法,深度合成,内容生成,服务提供者,山东桉树信息科技有限公司,三颗松果智写助手(网站),应用于文本生成场景，根据用户输入的文本、图像、音频，识别图像、音频中的文字，生成符合用户需求的文本内容。,2023-09-15,301,山东省,济南市,济南高新技术产业开发区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,117.127456,36.680372,G4
1955,第八批,深度合成,2024-10,云积天赫企业版大模型算法,深度合成,内容生成,服务技术支持者,深圳市云积分科技有限公司,未回填,应用于文本生成场景，服务于企业端客户，根据用户输入的文本信息，生成符合用户需求的文本内容。,2023-09-15,2515,广东省,深圳市,南山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.927530,22.517849,G4
1956,第八批,深度合成,2024-10,AI工程师文本生成算法,深度合成,内容生成,服务提供者,山西凹凸时空智能科技有限公司,AI工程师(APP),应用于对话生成场景，根据用户输入的文本内容，生成符合用户需求的文本回复。,2023-09-15,100,山西省,未回填,未回填,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,112.613123,37.408935,G4
1957,第八批,深度合成,2024-10,力维智联灾情预警图像生成算法,深度合成,内容生成,服务技术支持者,深圳力维智联技术有限公司,未回填,应用于图像生成场景，服务于企业端客户，根据用户输入的场景图像和相关文本指令，生成火灾、内涝、雪灾等灾情场景的图像。,2023-09-15,12183,广东省,深圳市,南山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.949116,22.503260,G4
1958,第八批,深度合成,2024-10,简视科技声音印记声音克隆模型算法-1,深度合成,内容生成,服务提供者,武汉简视科技有限公司,微大使客户端(APP),应用于语音生成场景，根据输入的声音片段和文字，生成保留原声音特色和语调情绪的多语种语音。,2023-09-15,1000,湖北省,武汉市,洪山区,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,114.421382,30.455884,G4
1959,第八批,深度合成,2024-10,粤桨分拣图生文算法,深度合成,智能搜索,服务提供者,广东粤桨产业科技有限公司,“千手智拣”分拣设备系统(其他),应用于文本生成场景，根据摄像头拍摄并上传检测物料的多个角度图像，生成瑕疵品文本形式的代码信息。,2023-09-15,10000,广东省,广州市,海珠区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.359140,23.125752,G3
1960,第八批,深度合成,2024-10,快康大模型算法,深度合成,内容生成,服务提供者,广州快康智能科技有限公司,快康AI助手(APP)、快康AI助手(小程序),应用于对话生成场景，根据用户输入的咨询问题，生成饮食运动评价、食物热量分析等内容。,2023-09-15,100,广东省,广州市,天河区,租赁和商务服务业,商务服务业,企业管理服务,113.372439,23.140728,G4
1961,第八批,深度合成,2024-10,Q学友培训视频课件的数智生成算法,深度合成,内容生成,服务提供者,深圳市企鹅网络科技有限公司,Q学友(网站),应用于视频生成场景，根据用户输入的音频、视频数据，生成唇音同步的新视频。,2023-09-15,702,广东省,深圳市,南山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.942144,22.572335,G4
1962,第八批,深度合成,2024-10,盈豪对话生成算法,深度合成,内容生成,服务提供者,广西盈豪科技有限公司,Sara文生视频(APP),应用于对话生成场景，根据用户输入的文本内容，生成对话文本回复。,2023-09-15,200,广西壮族自治区,南宁市,青秀区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,108.367500,22.831196,G4
1963,第八批,深度合成,2024-10,博汇慧视多模态内容分析大模型算法,深度合成,内容生成,服务技术支持者,北京市博汇科技股份有限公司,未回填,应用于文本音频生成场景，服务于企业端客户，根据用户输入的文本、音频、视频、图像，生成相应的文本、音频。,2023-09-15,8008,北京市,北京市,海淀区,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,116.235636,40.078339,G4
1964,第八批,深度合成,2024-10,云川图像生成算法,深度合成,内容生成,服务提供者,长沙云川信息技术有限公司,变脸助手(APP),应用于图像生成场景，将用户上传的照片与特定模板进行面部融合，生成融合后的人脸图像。,2023-09-15,100,湖南省,长沙市,未回填,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息系统集成服务,112.881903,28.230246,G4
1965,第八批,深度合成,2024-10,AI照片修复仪换装生成算法,深度合成,内容生成,服务提供者,郑州俊盈网络科技有限公司,AI照片修复仪(APP),应用于图像生成场景，根据用户输入的模特图和服装图，生成换装图像。,2023-09-15,100,河南省,郑州市,郑州高新技术产业开发区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,113.576144,34.806076,G4
1966,第八批,深度合成,2024-10,集之数字人2D唇形驱动模型算法,深度合成,内容生成,服务提供者,上海集之数字科技有限公司,数字孪生(网站),应用于数字人视频生成场景，根据用户输入的音频、图像，生成数字人形象的视频。,2023-09-15,1000,上海市,上海市,金山区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,121.286420,30.800048,G4
1967,第八批,深度合成,2024-10,一知文本生成算法,深度合成,内容生成,服务提供者,杭州一知智能科技有限公司,一知智能呼叫中心(网站),应用于对话生成场景，根据用户输入的文本内容，生成符合用户需求的文本回复。,2023-09-15,2783,浙江省,杭州市,萧山区,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,120.247305,30.203147,G4
1968,第八批,深度合成,2024-10,一知音频生成算法,深度合成,内容生成,服务提供者,杭州一知智能科技有限公司,一知智能呼叫中心(网站),应用于语音生成场景，根据用户输入的文本信息，生成对应语言特征和语义信息的音频内容。,2023-09-15,2783,浙江省,杭州市,萧山区,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,120.247305,30.203147,G4
1969,第八批,深度合成,2024-10,晓耘AI文本对话生成算法,深度合成,内容生成,服务提供者,北京京师励耘教育科技有限公司,知心慧语智能答疑系统(网站),应用于文本生成场景，根据用户输入的文本内容，生成符合用户意图的文本回复。,2023-09-15,3450,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.334657,39.957978,G4
1970,第八批,深度合成,2024-10,亦心AI大模型算法,深度合成,内容生成,服务提供者,北京亦心科技有限公司,亦心AI(网站)、亦心AI闪绘(APP)、悟空图像(其他),应用于图像生成场景，根据用户输入的文本、图像，生成符合用户需求的图像内容。,2023-09-15,1000,北京市,北京市,石景山区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.306017,39.981541,G4
1971,第八批,深度合成,2024-10,法大大合同信息抽取和风险审查算法,深度合成,内容审核,服务提供者,深圳法大大网络科技有限公司,法大大签管一体化平台(网站),应用于文本生成场景，根据用户输入的合同信息，生成符合用户需求的合同关键信息、潜在风险点等文本内容。,2023-09-15,5078,广东省,深圳市,福田区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,114.063955,22.569611,G3
1972,第八批,深度合成,2024-10,华数云职业规划大语言模型算法,深度合成,内容生成,服务提供者,广州华数云计算有限公司,人才岗位胜任力评估测试(小程序),应用于对话生成场景，根据用户输入的文本内容，生成符合用户需求的文本回复。,2023-09-15,3000,广东省,广州市,海珠区,批发和零售业,批发业,纺织、服装及家庭用品批发,113.744397,23.688107,G3
1973,第八批,深度合成,2024-10,祖玛数字人生成算法,深度合成,内容生成,服务提供者,杭州祖玛科技有限公司,数智人脉(APP)、数智人脉(小程序)、祖玛商务视频彩铃(小程序)、数智人脉(其他),应用于数字人视频生成场景，根据用户输入的音频、文本、照片，生成数字人视频。,2023-09-15,1012,浙江省,杭州市,西湖区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.114836,30.277065,G4
1974,第八批,深度合成,2024-10,猎聘Lily智能顾问生成算法,深度合成,人机对话,服务提供者,同道精英(天津)信息技术有限公司,猎聘(APP)、猎聘网(网站),应用于对话生成场景，根据用户输入的求职相关的咨询内容或招聘需求，生成符合用户需求的文本回复。,2023-09-15,1200,天津市,天津市,滨海新区,租赁和商务服务业,商务服务业,人力资源服务,117.682983,38.997982,G4
1975,第八批,深度合成,2024-10,方太智能交互大模型算法,深度合成,人机对话,服务提供者,杭州方太智能科技有限公司,方太家电智能交互服务(其他),应用于文本、语音生成场景，根据用户输入的语音信息，生成符合用户需求的文本内容或转换为语音进行输出。,2023-09-15,500,浙江省,杭州市,萧山区,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,120.280027,30.214927,G4
1976,第八批,深度合成,2024-10,阿几智能图像合成算法,深度合成,内容生成,服务提供者,上海阿几网络技术有限公司,Kreatr(网站)、Arkie(网站),应用于图像生成场景，根据用户输入的文本、图像信息，生成符合用户需求的图像。,2023-09-15,100,上海市,上海市,宝山区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,121.212666,31.272148,G4
1977,第八批,深度合成,2024-10,万象多模态内容生成算法,深度合成,内容生成,服务提供者,四川抛物线科技有限公司,万象AI(APP)、万象AI助手(小程序)、万象AI(网站),应用于文本图像生成场景，根据用户输入的文本信息，生成符合用户需求的文本、图像内容。,2023-09-15,100,四川省,成都市,武侯区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,104.055036,30.582328,G4
1978,第八批,深度合成,2024-10,AIHoney文本信息合成算法,深度合成,内容生成,服务提供者,武汉细语科技有限公司,AI Honey(APP),应用于对话生成场景，根据用户输入的文本内容，生成符合用户需求的文本回复。,2023-09-15,100,湖北省,武汉市,洪山区,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,114.383405,30.625143,G4
1979,第八批,深度合成,2024-10,小语大模型算法,深度合成,内容生成,服务提供者,上海微芒科技有限公司,小语老师(APP),应用于语音生成场景，根据用户输入的语音信息，生成符合用户需求的文本内容，转换为语音进行输出。,2023-09-15,569,上海市,上海市,松江区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,121.322246,31.092973,G4
1980,第八批,深度合成,2024-10,七智慧心文本生成大模型算法,深度合成,内容生成,服务提供者,杭州七智慧心科技有限公司,慧心智聊(小程序)、慧心助手(APP)、慧心教学(APP),应用于对话生成场景，根据用户输入的文本信息，生成符合用户需求的文本回复。,2023-09-15,222,浙江省,杭州市,西湖区,科学研究和技术服务业,科技推广和应用服务业,其他科技推广和应用服务业,120.017550,30.236088,G4
1981,第八批,深度合成,2024-10,联友墨研大模型合成算法,深度合成,内容生成,服务技术支持者,深圳联友科技有限公司,未回填,应用于对话生成场景，服务于企业端客户，根据用户输入的文本内容，生成符合用户需求的文本或图像回复。,2023-09-15,4649,广东省,深圳市,福田区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,114.093446,22.541497,G4
1982,第八批,深度合成,2024-10,MIX智能文本生成算法,深度合成,内容生成,服务提供者,上海镁信健康科技集团股份有限公司,MIX智能理赔(小程序)、MIX大模型(网站),应用智能对话场景，根据用户输入的文本信息，生成符合用户需求的文本回复。,2023-09-15,7311,上海市,上海市,徐汇区,租赁和商务服务业,商务服务业,咨询与调查,121.457614,31.191443,G4
1983,第八批,深度合成,2024-10,柏星龙星辰创意多模态算法,深度合成,内容生成,服务提供者,深圳市柏星龙创意包装股份有限公司,创慧星辰(网站)、创慧星辰(小程序),应用于文本图像生成场景，根据用户输入的文本信息，生成符合用户需求的文本或图像。,2023-09-15,6481,广东省,深圳市,罗湖区,批发和零售业,批发业,纺织、服装及家庭用品批发,114.116483,22.578399,G4
1984,第八批,深度合成,2024-10,自然语义文本生成算法,深度合成,内容生成,服务技术支持者,自然语义(青岛)科技有限公司,未回填,应用于文本生成场景，服务于企业端客户，根据用户输入的文本信息，生成符合用户需求的文本回复。,2023-09-15,6000,山东省,青岛市,崂山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.484033,36.146499,G4
